,Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec_x,Unnamed: 8_level_1,Opp,Opp_2,Tm_x,1stD,1stD_2,TotYd,TotYd_2,PassY,PassY_2,RushY,RushY_2,TO,TO_2,Offense,Defense,Sp. Tms,_x,key,Player,Tm_y,Cmp,Att,Att_2,Yds,Yds_2,Yds_3,TD,TD_2,TD_3,Int,Sk,Yds.1,Lng,Lng_2,Lng_3,Rate,Tgt,Rec_y,Fmb,FL,_y,Pos
7,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Maxx Williams,ARI,0,0,0,0,0,21,0,0,0,0,0,0,0,0,21,,1,1,0,0,/players/W/WillMa04.htm,
8,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Michael Crabtree,ARI,0,0,0,0,0,13,0,0,0,0,0,0,0,0,9,,3,2,0,0,/players/C/CrabMi00.htm,WR
9,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Charles Clay,ARI,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,,2,1,0,0,/players/C/ClayCh00.htm,
12,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Lamar Jackson,BAL,24,37,16,272,120,0,2,0,0,0,2,14,41,19,0,104.8,0,0,0,0,/players/J/JackLa00.htm,QB
13,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Mark Ingram,BAL,0,0,13,0,47,30,0,0,0,0,0,0,0,16,20,,2,2,0,0,/players/I/IngrMa01.htm,RB
14,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Gus Edwards,BAL,0,0,3,0,11,0,0,0,0,0,0,0,0,4,0,,0,0,0,0,/players/E/EdwaGu00.htm,
15,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Justice Hill,BAL,0,0,1,0,4,10,0,0,0,0,0,0,0,4,10,,2,1,0,0,/players/H/HillJu00.htm,
16,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Mark Andrews,BAL,0,0,0,0,0,112,0,0,1,0,0,0,0,0,28,,9,8,1,0,/players/A/AndrMa00.htm,
17,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Marquise Brown,BAL,0,0,0,0,0,86,0,0,0,0,0,0,0,0,41,,13,8,0,0,/players/B/BrowMa04.htm,WR
18,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Nick Boyle,BAL,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14,,3,1,0,0,/players/B/BoylNi00.htm,TE
19,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Miles Boykin,BAL,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11,,3,1,0,0,/players/B/BoykMi00.htm,WR
20,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Willie Snead,BAL,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,,1,1,0,0,/players/S/SneaWi00.htm,WR/RS
21,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Patrick Ricard,BAL,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,,1,1,0,0,/players/R/RicaPa00.htm,
